2026-03-26 10:54:47 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 10:56:04 INFO  BaseTestPortal - successfully login
2026-03-26 10:56:04 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 10:56:04 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 10:56:23 INFO  BaseTestPortal - Clicking verify button
2026-03-26 10:57:55 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 10:57:55 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 10:59:59 INFO  BaseTestPortal - successfully login
2026-03-26 10:59:59 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 10:59:59 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 11:00:18 INFO  BaseTestPortal - Clicking verify button
2026-03-26 11:02:13 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 11:02:13 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 11:21:43 INFO  BaseTestPortal - successfully login
2026-03-26 11:21:43 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 11:21:43 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 11:22:02 INFO  BaseTestPortal - Clicking verify button
2026-03-26 11:23:27 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 11:23:27 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 11:38:15 INFO  BaseTestPortal - successfully login
2026-03-26 11:38:15 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 11:38:15 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 11:38:35 INFO  BaseTestPortal - Clicking verify button
2026-03-26 11:39:01 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 11:39:01 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 11:40:13 INFO  BaseTestPortal - successfully login
2026-03-26 11:40:13 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 11:40:13 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 11:40:32 INFO  BaseTestPortal - Clicking verify button
2026-03-26 11:42:03 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 11:42:03 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 11:43:58 INFO  BaseTestPortal - successfully login
2026-03-26 11:43:58 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 11:43:58 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 11:44:19 INFO  BaseTestPortal - Clicking verify button
2026-03-26 11:46:11 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 11:46:11 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 12:16:20 INFO  BaseTestPortal - successfully login
2026-03-26 12:16:20 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 12:16:20 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 12:16:47 INFO  BaseTestPortal - Clicking verify button
2026-03-26 12:18:41 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 12:18:41 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 12:21:36 INFO  BaseTestPortal - successfully login
2026-03-26 12:21:36 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 12:21:36 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 12:21:54 INFO  BaseTestPortal - Clicking verify button
2026-03-26 12:22:22 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 12:22:22 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 12:23:32 INFO  BaseTestPortal - successfully login
2026-03-26 12:23:32 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 12:23:32 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 12:23:50 INFO  BaseTestPortal - Clicking verify button
2026-03-26 12:24:16 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 12:24:16 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 12:29:32 INFO  BaseTestPortal - successfully login
2026-03-26 12:29:32 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 12:29:32 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 12:29:51 INFO  BaseTestPortal - Clicking verify button
2026-03-26 12:31:18 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 12:31:18 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 12:33:28 INFO  BaseTestPortal - successfully login
2026-03-26 12:33:28 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 12:33:28 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 12:33:49 INFO  BaseTestPortal - Clicking verify button
2026-03-26 12:35:31 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 12:35:31 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 12:43:09 INFO  BaseTestPortal - successfully login
2026-03-26 12:43:09 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 12:43:09 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 12:43:28 INFO  BaseTestPortal - Clicking verify button
2026-03-26 12:44:52 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 12:44:52 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 12:51:01 INFO  BaseTestPortal - successfully login
2026-03-26 12:51:01 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 12:51:01 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 12:51:21 INFO  BaseTestPortal - Clicking verify button
2026-03-26 12:52:50 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 12:52:50 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 13:11:21 INFO  BaseTestPortal - successfully login
2026-03-26 13:11:21 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 13:11:21 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 13:11:41 INFO  BaseTestPortal - Clicking verify button
2026-03-26 13:12:39 INFO  BaseTestPortal - successfully login
2026-03-26 13:12:39 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 13:12:39 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 13:12:57 INFO  BaseTestPortal - Clicking verify button
2026-03-26 13:14:23 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 13:14:23 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 13:34:59 INFO  BaseTestPortal - successfully login
2026-03-26 13:34:59 INFO  BaseTestPortal - ===== Starting OTP Verification =====
